Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Dog Man,"$69,182,062","$57,085,710",82.5%,"$12,096,352",17.5%
2,Den of Thieves: Pantera,"$54,586,117","$35,792,042",65.6%,"$18,794,075",34.4%
3,One of Them Days,"$40,693,101","$40,536,179",99.6%,"$156,922",0.4%
4,Flight Risk,"$36,575,185","$26,262,263",71.8%,"$10,312,922",28.2%
5,The Wizard of the Emerald City,"$34,654,318",-,-,"$34,654,318",100%
6,Wolf Man,"$33,884,969","$20,663,070",61%,"$13,221,899",39%
7,Companion,"$27,990,141","$16,890,141",60.3%,"$11,100,000",39.7%
8,Hitman 2,"$15,000,342",-,-,"$15,000,342",100%
9,Mobile Suit Gundam GQuuuuuuX: Beginning,"$14,899,576",-,-,"$14,899,576",100%
10,The 4 Rascals,"$11,672,954",-,-,"$11,672,954",100%
11,Heart Eyes,"$11,530,801","$11,530,801",100%,-,-
12,366 Nichi,"$11,065,435",-,-,"$11,065,435",100%
13,Dark Nuns,"$10,737,426","$54,923",0.5%,"$10,682,503",99.5%
14,How to Make a Killing,"$9,892,895",-,-,"$9,892,895",100%
15,Io sono la fine del mondo,"$9,669,443",-,-,"$9,669,443",100%
16,Love Hurts,"$8,932,760","$7,918,760",88.6%,"$1,014,000",11.4%
17,Presence,"$8,378,027","$6,813,902",81.3%,"$1,564,125",18.7%
18,Die drei ??? und der Karpatenhund,"$7,271,646",-,-,"$7,271,646",100%
19,Colorful Stage! The Movie: A Miku Who Can't Sing,"$5,748,177",-,-,"$5,748,177",100%
20,Money Kisses,"$5,527,459",-,-,"$5,527,459",100%
21,Kleks i wynalazek Filipa Golarza,"$5,251,434",-,-,"$5,251,434",100%
22,The Solitary Gourmet,"$4,608,340",-,-,"$4,608,340",100%
23,Becoming Led Zeppelin,"$4,491,637","$3,677,067",81.9%,"$814,570",18.1%
24,Brave the Dark,"$4,416,794","$4,416,794",100%,-,-
25,Mesa de Regalos,"$4,271,261",-,-,"$4,271,261",100%
26,Under Ninja,"$4,128,584",-,-,"$4,128,584",100%
27,10 giorni con i suoi,"$4,043,238",-,-,"$4,043,238",100%
28,Secret: Untold Melody,"$3,770,341",-,-,"$3,770,341",100%
29,The Blunder,"$3,258,644",-,-,"$3,258,644",100%
30,Kardes Takimi 2,"$3,217,899",-,-,"$3,217,899",100%
31,Creation of the Gods II: Demon Force,"$3,094,790","$1,739,326",56.2%,"$1,355,464",43.8%
32,Zloy gorod,"$2,861,116",-,-,"$2,861,116",100%
33,Game Changer,"$2,849,061","$2,100,000",73.7%,"$749,061",26.3%
34,The Quiet Son,"$2,671,194",-,-,"$2,671,194",100%
35,Kutsal Damacana 5: Zombi,"$2,647,982",-,-,"$2,647,982",100%
36,Quarantine,"$2,446,352",-,-,"$2,446,352",100%
37,Pororo: Underwater adventure,"$2,386,696",-,-,"$2,386,696",100%
38,Dalej Jazda,"$2,360,862",-,-,"$2,360,862",100%
39,Muromachi Burai,"$2,342,595",-,-,"$2,342,595",100%
40,Cernak,"$2,273,096",-,-,"$2,273,096",100%
41,Vasiliy,"$2,160,225",-,-,"$2,160,225",100%
42,Screw Mickiewicz,"$1,999,318",-,-,"$1,999,318",100%
43,Macbeth,"$1,903,831",-,-,"$1,903,831",100%
44,The Soul Lantern,"$1,746,892",-,-,"$1,746,892",100%
45,Rekhachithram,"$1,742,939",-,-,"$1,742,939",100%
46,Postuchis v moyu Tver,"$1,723,121",-,-,"$1,723,121",100%
47,The Southern Chronicles,"$1,693,363",-,-,"$1,693,363",100%
48,Na plech,"$1,620,124",-,-,"$1,620,124",100%
49,Hard Truths,"$1,611,774","$808,122",50.1%,"$803,652",49.9%
50,"Isho, Kokai.","$1,540,590",-,-,"$1,540,590",100%
51,Seven 2025 Re-release,"$1,536,375","$915,000",59.6%,"$597,273",38.9%
52,The Rose of Versailles,"$1,489,577",-,-,"$1,489,577",100%
53,Green and Gold,"$1,404,733","$1,404,733",100%,-,-
54,The Damned,"$1,364,101","$1,342,796",98.4%,"$21,305",1.6%
55,Night of the Zoopocalypse,"$1,312,919",-,-,"$1,312,919",100%
56,Les Misérables: The Staged Concert 2025 Re-release,"$1,302,839",-,-,"$1,302,839",100%
57,Dove osano le cicogne,"$1,279,401",-,-,"$1,279,401",100%
58,IU Concert: The Winning,"$1,278,209",-,-,"$1,278,209",100%
59,La pie voleuse,"$1,268,349",-,-,"$1,268,349",100%
60,Valiant One,"$1,232,878","$1,232,878",100%,-,-
61,Hit N Fun,"$1,094,264",-,-,"$1,094,264",100%
62,VidaaMuyarchi,"$1,072,649",-,-,"$1,072,649",100%
63,Forbidden Fairytale,"$1,065,081",-,-,"$1,065,081",100%
64,Nocturnal,"$1,029,609",-,-,"$1,029,609",100%
65,Mikaela,"$1,028,537",-,-,"$1,028,537",100%
66,Detective Chinatown 1900,"$977,709",-,-,"$977,709",100%
67,Deva,"$957,798",-,-,"$957,798",100%
68,Six jours,"$950,888",-,-,"$950,888",100%
69,My Best Bet,"$926,937",-,-,"$926,937",100%
70,Chasing the Wind,"$898,772",-,-,"$898,772",100%
71,Tur Rehberi,"$866,080",-,-,"$866,080",100%
72,Aslan Hürkus 4: Hürjet Oyunda,"$850,444",-,-,"$850,444",100%
73,Personne n'y comprend rien,"$826,855",-,-,"$826,855",100%
74,Friend Zone,"$777,854",-,-,"$777,854",100%
75,La fille d'un grand amour,"$744,879",-,-,"$744,879",100%
76,Winter in Sokcho,"$708,936",-,-,"$708,936",100%
77,Sankrathiki Vasthunam,"$651,053",-,-,"$651,053",100%
78,Jane Austen Wrecked My Life,"$635,344",-,-,"$635,344",100%
79,Mala influencia,"$618,760",-,-,"$618,760",100%
80,Legends of the Condor Heroes: The Gallants,"$614,082",-,-,"$614,082",100%
81,Tu Sangre,"$611,039",-,-,"$611,039",100%
82,Zlatovláska,"$596,497",-,-,"$596,497",100%
83,Dominic and the Ladies' Purse,"$558,914",-,-,"$558,914",100%
84,The Fourth Wall,"$534,177",-,-,"$534,177",100%
85,Véletlenül írtam egy könyvet,"$527,914",-,-,"$527,914",100%
86,El Dashash,"$520,089",-,-,"$520,089",100%
87,Swiatloczula,"$513,427",-,-,"$513,427",100%
88,Parasite 2025 Re-release,"$478,148","$478,148",100%,-,-
89,Kayara,"$448,741",-,-,"$448,741",100%
90,Maldoror,"$437,474",-,-,"$437,474",100%
91,Identity,"$435,906",-,-,"$435,906",100%
92,Lottery,"$431,304",-,-,"$431,304",100%
93,Dogulu,"$428,123",-,-,"$428,123",100%
94,Bring Them Down,"$422,765","$322,356",76.2%,"$100,409",23.8%
95,Voyna i muzyka,"$413,792",-,-,"$413,792",100%
96,Kundschafter des Friedens 2,"$396,267",-,-,"$396,267",100%
97,Ponman,"$375,967",-,-,"$375,967",100%
98,Fatti vedere,"$353,924",-,-,"$353,924",100%
99,Putin,"$346,245",-,-,"$346,245",100%
100,Pino Daniele - Nero a metà,"$342,355",-,-,"$342,355",100%
101,UFC Countdown: UFC 311 Countdown: Makhachev vs. Tsarukyan 2,"$334,988","$334,988",100%,-,-
102,Thunderstruck Cop,"$331,927",-,-,"$331,927",100%
103,Queen of Mahjong,"$330,091",-,-,"$330,091",100%
104,Sky Force,"$305,368",-,-,"$305,368",100%
105,Sing Sing 2025 Re-release,"$289,829","$289,829",100%,-,-
106,The Corpse Washer,"$288,097",-,-,"$288,097",100%
107,Znakomstvo roditeley,"$274,144",-,-,"$274,144",100%
108,Ripples,"$263,345",-,-,"$263,345",100%
109,Ocean Expedition Octonauts Above and Beyond: Polar Operations,"$254,264",-,-,"$254,264",100%
