Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Captain America: Brave New World,"$192,400,000","$100,000,000",52%,"$92,400,000",48%
2,Dog Man,"$87,323,710","$69,685,710",79.8%,"$17,638,000",20.2%
3,Den of Thieves: Pantera,"$56,129,727","$36,002,042",64.1%,"$20,127,685",35.9%
4,One of Them Days,"$44,043,101","$43,886,179",99.6%,"$156,922",0.4%
5,Flight Risk,"$40,289,398","$28,032,263",69.6%,"$12,257,135",30.4%
6,The Wizard of the Emerald City,"$34,654,318",-,-,"$34,654,318",100%
7,Wolf Man,"$33,920,969","$20,699,070",61%,"$13,221,899",39%
8,Companion,"$33,230,141","$19,030,141",57.3%,"$14,200,000",42.7%
9,Bridget Jones: Mad About the Boy,"$32,257,000",-,-,"$32,257,000",100%
10,Heart Eyes,"$22,530,801","$22,530,801",100%,-,-
11,Hitman 2,"$15,000,342",-,-,"$15,000,342",100%
12,Mobile Suit Gundam GQuuuuuuX: Beginning,"$14,899,576",-,-,"$14,899,576",100%
13,Love Hurts,"$13,682,760","$12,668,760",92.6%,"$1,014,000",7.4%
14,The 4 Rascals,"$11,672,954",-,-,"$11,672,954",100%
15,366 Nichi,"$11,065,435",-,-,"$11,065,435",100%
16,Dark Nuns,"$10,785,936","$103,433",1%,"$10,682,503",99%
17,How to Make a Killing,"$9,892,895",-,-,"$9,892,895",100%
18,Io sono la fine del mondo,"$9,669,443",-,-,"$9,669,443",100%
19,Die drei ??? und der Karpatenhund,"$8,600,000",-,-,"$8,600,000",100%
20,Presence,"$8,442,027","$6,877,902",81.5%,"$1,564,125",18.5%
21,Ne Zha 2,"$8,300,000","$8,300,000",100%,-,-
22,God Save the Tuche,"$6,728,624",-,-,"$6,728,624",100%
23,Becoming Led Zeppelin,"$6,625,821","$5,811,251",87.7%,"$814,570",12.3%
24,Colorful Stage! The Movie: A Miku Who Can't Sing,"$5,748,177",-,-,"$5,748,177",100%
25,Money Kisses,"$5,527,459",-,-,"$5,527,459",100%
26,Kleks i wynalazek Filipa Golarza,"$5,251,434",-,-,"$5,251,434",100%
27,Mesa de Regalos,"$5,111,532",-,-,"$5,111,532",100%
28,The Solitary Gourmet,"$4,608,340",-,-,"$4,608,340",100%
29,Brave the Dark,"$4,416,794","$4,416,794",100%,-,-
30,Under Ninja,"$4,128,584",-,-,"$4,128,584",100%
31,10 giorni con i suoi,"$4,043,238",-,-,"$4,043,238",100%
32,Secret: Untold Melody,"$3,770,341",-,-,"$3,770,341",100%
33,The Blunder,"$3,258,644",-,-,"$3,258,644",100%
34,Kardes Takimi 2,"$3,217,899",-,-,"$3,217,899",100%
35,Creation of the Gods II: Demon Force,"$3,208,951","$1,853,487",57.8%,"$1,355,464",42.2%
36,Zloy gorod,"$2,861,116",-,-,"$2,861,116",100%
37,Game Changer,"$2,849,061","$2,100,000",73.7%,"$749,061",26.3%
38,The Quiet Son,"$2,671,194",-,-,"$2,671,194",100%
39,Kutsal Damacana 5: Zombi,"$2,647,982",-,-,"$2,647,982",100%
40,Quarantine,"$2,446,352",-,-,"$2,446,352",100%
41,Pororo: Underwater adventure,"$2,386,696",-,-,"$2,386,696",100%
42,Dalej Jazda,"$2,360,862",-,-,"$2,360,862",100%
43,Muromachi Burai,"$2,342,595",-,-,"$2,342,595",100%
44,Cernak,"$2,273,096",-,-,"$2,273,096",100%
45,Vasiliy,"$2,160,225",-,-,"$2,160,225",100%
